"lanzamiento","estado","nivelEducativo","desempeño","nivelDelCurso"
"Spring","Pass","Medio","mal","Basic"
"Spring","Pass","Medio","mal","Advanced"
"Fall","Pass","Medio","mal","Advanced"
"Fall","Pass","Medio","mal","Basic"
"Summer","Pass","Medio","mal","Advanced"
"Summer","Pass","Medio","buen","Intermediate"
"Fall","Pass","Medio","buen","Intermediate"
"Spring","Pass","Medio","mal","Basic"
"Winter","Pass","Medio","mal","Basic"
"Spring","Pass","Medio","mal","Intermediate"
"Summer","Pass","Medio","mal","Basic"
"Fall","Pass","Medio","mal","Basic"
"Winter","Pass","Medio","mal","Basic"
"Spring","Pass","Medio","buen","Intermediate"
"Winter","Pass","Medio","mal","Basic"
"Spring","Pass","Medio","muy buen","Basic"
"Summer","Pass","Medio","muy buen","Intermediate"
"Spring","Pass","Medio","mal","Intermediate"
"Spring","Pass","Medio","buen","Basic"
"Winter","Pass","Medio","mal","Basic"
"Winter","Pass","Medio","mal","Advanced"
"Fall","Pass","Medio","mal","Basic"
"Spring","Pass","Medio","buen","Advanced"
"Winter","Pass","Medio","buen","Advanced"
"Summer","Pass","Medio","mal","Advanced"
"Summer","Pass","Medio","buen","Basic"
"Winter","Pass","Medio","buen","Basic"
"Spring","Pass","Medio","mal","Intermediate"
"Winter","Pass","Medio","mal","Basic"
"Summer","Pass","Medio","buen","Basic"
"Winter","Pass","Medio","buen","Intermediate"
"Fall","Pass","Medio","buen","Basic"
"Fall","Pass","Medio","buen","Advanced"
"Summer","Pass","Medio","buen","Advanced"
"Winter","Pass","Medio","buen","Basic"
"Summer","Pass","Medio","mal","Basic"
"Spring","Pass","Medio","muy buen","Intermediate"
"Summer","Pass","Medio","muy buen","Advanced"
"Winter","Pass","Medio","mal","Intermediate"
"Summer","Pass","Medio","buen","Intermediate"
"Winter","Pass","Medio","mal","Intermediate"
"Spring","Pass","Medio","mal","Advanced"
"Winter","Pass","Medio","mal","Advanced"
"Spring","Pass","Medio","mal","Intermediate"
"Winter","Pass","Medio","mal","Basic"
"Summer","Pass","Medio","buen","Basic"
"Winter","Pass","Medio","mal","Advanced"
"Winter","Pass","Medio","mal","Advanced"
"Spring","Pass","Medio","buen","Intermediate"
"Summer","Pass","Medio","buen","Intermediate"
"Fall","Pass","Medio","buen","Advanced"
"Summer","Pass","Medio","mal","Intermediate"
"Winter","Pass","Medio","mal","Intermediate"
"Fall","Pass","Medio","mal","Advanced"
"Summer","Pass","Medio","mal","Basic"
"Spring","Pass","Medio","mal","Advanced"
"Winter","Pass","Medio","mal","Advanced"
"Spring","Pass","Medio","buen","Advanced"
"Summer","Pass","Medio","mal","Advanced"
"Spring","Pass","Medio","buen","Intermediate"
"Summer","Pass","Medio","buen","Intermediate"
"Fall","Pass","Medio","mal","Intermediate"
"Fall","Pass","Medio","mal","Advanced"
"Winter","Pass","Medio","buen","Advanced"
"Spring","Pass","Medio","buen","Basic"
"Summer","Pass","Medio","mal","Intermediate"
