"año","lanzamiento","institucion","nombre","nivelDelCurso","clase","estado","notaFinal"
2018,"Spring","AIEP","Persona46917812227144408","Basic 2","Boyle EN1 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","EAD","Persona106879278315164","Basic 2","Boyle EN3 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","FG","Persona1057077642437733777408","Basic 2","Boyle EN4 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","FMU","Persona12308615322099118080","Basic 2","Boyle EN3 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","FPB","Persona104962382","Basic 2","Boyle EN2 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UAM BR","Persona108633881924016","Basic 2","Boyle EN1 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UDLA CL","Persona36493013","Basic 2","Boyle EN4 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UDLA CL","Persona100499609009773","Basic 2","Boyle EN4 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UiP","Persona11540111932854","Basic 2","Boyle EN1 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UiP","Persona1817190187674","Basic 2","Boyle EN1 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UiP","Persona5757006181","Basic 2","Boyle EN1 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UNIFACS","Persona10687849791","Basic 2","Boyle EN1 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UNIFACS","Persona33337878309411","Basic 2","Boyle EN2 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UNIFACS","Persona105413863","Basic 2","Boyle EN4 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UniRitter","Persona362411393330","Basic 2","Boyle EN3 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UNITEC HN","Persona8787442273731936","Basic 2","Boyle EN2 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UNITEC Mx","Persona13103974271919990","Basic 2","Boyle EN3 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UNITEC Mx","Persona9956972530349684736","Basic 2","Boyle EN4 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UnP","Persona317870678311342721466368","Basic 2","Boyle EN2 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UnP","Persona10541347780","Basic 2","Boyle EN2 - Basic 2 (Spring 2018)","No Show",0
2018,"Spring","UnP","Persona41438410697","Basic 2","Boyle EN3 - Basic 2 (Spring 2018)","No Show",0
2018,"Summer","AIEP","Persona46917812227144408","Basic 2","Boyle EN1 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","AIEP","Persona348140379892165","Basic 2","Boyle EN3 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","EAD","Persona5840386272","Basic 2","Boyle EN3 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","FG","Persona31486797","Basic 2","Boyle EN5 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","FG","Persona110127703786","Basic 2","Boyle EN5 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","FMU","Persona10569774365","Basic 2","Boyle EN1 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","FMU","Persona1154028516","Basic 2","Boyle EN3 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","FMU","Persona4766321243686","Basic 2","Boyle EN4 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","FMU","Persona1101284437","Basic 2","Dantas EN2 - Basic 1 (Summer 2018)","No Show",0
2018,"Summer","FPB","Persona812473884","Basic 2","Boyle EN1 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","FPB","Persona4144168214","Basic 2","Boyle EN5 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","Gest?o S?o Paulo","Persona66466608243","Basic 2","Boyle EN4 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","Servicios Andinos","Persona4265465313550820864","Basic 2","Boyle EN6 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","Servicios Andinos","Persona438080097034825920","Basic 2","Dantas EN1 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","Servicios Andinos","Persona99599284259986128896","Basic 2","Boyle EN6 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","Servicios Andinos","Persona23488323230533402624","Basic 2","Boyle EN6 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","Servicios Andinos","Persona58140001826740813824","Basic 2","Boyle EN6 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","Servicios Andinos","Persona5762091753362813952","Basic 2","Boyle EN6 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","Servicios Andinos","Persona2782393396581896290304","Basic 2","Boyle EN6 - Basic 2 (Summer 2018)","No Show",0
2018,"Summer","Servicios Andinos","Persona210195187907568730112","Basic 2","Boyle EN2 - Basic 2 (Summer 2018)","No Show",0
